,date,home_team,away_team,team,scorer,minute,own_goal,penalty,home_score,away_score,tournament,city,country,neutral,winner,first_shooter
365,1987-11-11,Yugoslavia,England,England,Peter Beardsley,3.0,False,False,1,4,UEFA Euro qualification,Belgrade,Yugoslavia,False,,
366,1987-11-11,Yugoslavia,England,England,John Barnes,17.0,False,False,1,4,UEFA Euro qualification,Belgrade,Yugoslavia,False,,
367,1987-11-11,Yugoslavia,England,England,Bryan Robson,20.0,False,False,1,4,UEFA Euro qualification,Belgrade,Yugoslavia,False,,
368,1987-11-11,Yugoslavia,England,England,Tony Adams,25.0,False,False,1,4,UEFA Euro qualification,Belgrade,Yugoslavia,False,,
369,1987-11-11,Yugoslavia,England,Yugoslavia,Srečko Katanec,80.0,False,False,1,4,UEFA Euro qualification,Belgrade,Yugoslavia,False,,
370,1988-06-12,England,Republic of Ireland,Republic of Ireland,Ray Houghton,6.0,False,False,0,1,UEFA Euro,Stuttgart,Germany,True,,
371,1988-06-15,England,Netherlands,Netherlands,Marco van Basten,44.0,False,False,1,3,UEFA Euro,Düsseldorf,Germany,True,,
372,1988-06-15,England,Netherlands,England,Bryan Robson,53.0,False,False,1,3,UEFA Euro,Düsseldorf,Germany,True,,
373,1988-06-15,England,Netherlands,Netherlands,Marco van Basten,71.0,False,False,1,3,UEFA Euro,Düsseldorf,Germany,True,,
374,1988-06-15,England,Netherlands,Netherlands,Marco van Basten,75.0,False,False,1,3,UEFA Euro,Düsseldorf,Germany,True,,
375,1988-06-18,England,Russia,Russia,Sergei Aleinikov,3.0,False,False,1,3,UEFA Euro,Frankfurt am Main,Germany,True,,
376,1988-06-18,England,Russia,England,Tony Adams,16.0,False,False,1,3,UEFA Euro,Frankfurt am Main,Germany,True,,
377,1988-06-18,England,Russia,Russia,Oleksiy Mykhaylychenko,28.0,False,False,1,3,UEFA Euro,Frankfurt am Main,Germany,True,,
378,1988-06-18,England,Russia,Russia,Viktor Pasulko,73.0,False,False,1,3,UEFA Euro,Frankfurt am Main,Germany,True,,
379,1989-03-08,Albania,England,England,John Barnes,16.0,False,False,0,2,FIFA World Cup qualification,Tirana,Albania,False,,
380,1989-03-08,Albania,England,England,Bryan Robson,63.0,False,False,0,2,FIFA World Cup qualification,Tirana,Albania,False,,
381,1989-04-26,England,Albania,England,Gary Lineker,5.0,False,False,5,0,FIFA World Cup qualification,London,England,False,,
382,1989-04-26,England,Albania,England,Peter Beardsley,12.0,False,False,5,0,FIFA World Cup qualification,London,England,False,,
383,1989-04-26,England,Albania,England,Peter Beardsley,64.0,False,False,5,0,FIFA World Cup qualification,London,England,False,,
384,1989-04-26,England,Albania,England,Chris Waddle,72.0,False,False,5,0,FIFA World Cup qualification,London,England,False,,
385,1989-04-26,England,Albania,England,Paul Gascoigne,88.0,False,False,5,0,FIFA World Cup qualification,London,England,False,,
386,1989-06-03,England,Poland,England,Gary Lineker,23.0,False,False,3,0,FIFA World Cup qualification,London,England,False,,
387,1989-06-03,England,Poland,England,John Barnes,72.0,False,False,3,0,FIFA World Cup qualification,London,England,False,,
388,1989-06-03,England,Poland,England,Neil Webb,83.0,False,False,3,0,FIFA World Cup qualification,London,England,False,,
389,1990-06-11,England,Republic of Ireland,England,Gary Lineker,9.0,False,False,1,1,FIFA World Cup,Cagliari,Italy,True,,
390,1990-06-11,England,Republic of Ireland,Republic of Ireland,Kevin Sheedy,73.0,False,False,1,1,FIFA World Cup,Cagliari,Italy,True,,
391,1990-06-21,England,Egypt,England,Mark Wright,58.0,False,False,1,0,FIFA World Cup,Cagliari,Italy,True,,
392,1990-06-26,England,Belgium,England,David Platt,119.0,False,False,1,0,FIFA World Cup,Bologna,Italy,True,,
393,1990-07-01,Cameroon,England,England,David Platt,25.0,False,False,2,3,FIFA World Cup,Naples,Italy,True,,
394,1990-07-01,Cameroon,England,Cameroon,Emmanuel Kundé,61.0,False,True,2,3,FIFA World Cup,Naples,Italy,True,,
395,1990-07-01,Cameroon,England,Cameroon,Eugène Ekéké,65.0,False,False,2,3,FIFA World Cup,Naples,Italy,True,,
396,1990-07-01,Cameroon,England,England,Gary Lineker,83.0,False,True,2,3,FIFA World Cup,Naples,Italy,True,,
397,1990-07-01,Cameroon,England,England,Gary Lineker,105.0,False,True,2,3,FIFA World Cup,Naples,Italy,True,,
398,1990-07-04,Germany,England,Germany,Andreas Brehme,60.0,False,False,1,1,FIFA World Cup,Turin,Italy,True,Germany,England
399,1990-07-04,Germany,England,England,Gary Lineker,80.0,False,False,1,1,FIFA World Cup,Turin,Italy,True,Germany,England
400,1990-07-07,Italy,England,Italy,Roberto Baggio,71.0,False,False,2,1,FIFA World Cup,Bari,Italy,False,,
401,1990-07-07,Italy,England,England,David Platt,81.0,False,False,2,1,FIFA World Cup,Bari,Italy,False,,
402,1990-07-07,Italy,England,Italy,Salvatore Schillaci,86.0,False,True,2,1,FIFA World Cup,Bari,Italy,False,,
403,1990-10-17,England,Poland,England,Gary Lineker,39.0,False,True,2,0,UEFA Euro qualification,London,England,False,,
404,1990-10-17,England,Poland,England,Peter Beardsley,89.0,False,False,2,0,UEFA Euro qualification,London,England,False,,
405,1990-11-14,Republic of Ireland,England,England,David Platt,67.0,False,False,1,1,UEFA Euro qualification,Dublin,Republic of Ireland,False,,
406,1990-11-14,Republic of Ireland,England,Republic of Ireland,Tony Cascarino,79.0,False,False,1,1,UEFA Euro qualification,Dublin,Republic of Ireland,False,,
407,1991-03-27,England,Republic of Ireland,England,Lee Dixon,9.0,False,False,1,1,UEFA Euro qualification,London,England,False,,
