,home,away,date_x,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level,next_day,date_y,Price,Open,High,Low,Vol.,Change %
37,Liverpool FC,Borussia Dortmund,2001-10-30,2,0,F,UEFA CL,Liverpool FC (England),Borussia Dortmund (Germany),england,germany,ENG,DE,Europe,Europe,Europe,international,2001-10-31,2001-10-31,"5,039.70","5,003.60","5,101.10","4,954.90",,0.72
38,FC Schalke 04,Arsenal FC,2001-10-30,3,1,F,UEFA CL,FC Schalke 04 (Germany),Arsenal FC (England),germany,england,DE,ENG,Europe,Europe,Europe,international,2001-10-31,2001-10-31,"5,039.70","5,003.60","5,101.10","4,954.90",,0.72
39,Lille OSC,Manchester United,2001-10-31,1,1,F,UEFA CL,Lille OSC (France),Manchester United (England),france,england,FR,ENG,Europe,Europe,Europe,international,2001-11-01,2001-11-01,"5,071.20","5,039.70","5,071.20","4,988.30",,0.63
40,Bayern Muenchen,Manchester United,2001-11-20,1,1,F,UEFA CL,Bayern Muenchen (Germany),Manchester United (England),germany,england,DE,ENG,Europe,Europe,Europe,international,2001-11-21,2001-11-21,"5,313.80","5,298.70","5,367.60","5,272.10",,0.28
41,Liverpool FC,FC Barcelona,2001-11-20,1,3,F,UEFA CL,Liverpool FC (England),FC Barcelona (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,2001-11-21,2001-11-21,"5,313.80","5,298.70","5,367.60","5,272.10",,0.28
42,Deportivo La Coruna,Arsenal FC,2001-11-21,2,0,F,UEFA CL,Deportivo La Coruna (Spain),Arsenal FC (England),spain,england,ES,ENG,Europe,Europe,Europe,international,2001-11-22,2001-11-22,"5,345.90","5,313.80","5,362.60","5,313.80",,0.6
43,Arsenal FC,Juventus,2001-12-04,3,1,F,UEFA CL,Arsenal FC (England),Juventus (Italy),england,italy,ENG,IT,Europe,Europe,Europe,international,2001-12-05,2001-12-05,"5,333.50","5,212.10","5,338.20","5,212.10",,2.33
44,Manchester United,Boavista Porto,2001-12-05,3,0,F,UEFA CL,Manchester United (England),Boavista Porto (Portugal),england,portugal,ENG,PT,Europe,Europe,Europe,international,2001-12-06,2001-12-06,"5,369.80","5,333.50","5,411.20","5,327.30",,0.68
45,As Roma,Liverpool FC,2001-12-05,0,0,F,UEFA CL,As Roma (Italy),Liverpool FC (England),italy,england,IT,ENG,Europe,Europe,Europe,international,2001-12-06,2001-12-06,"5,369.80","5,333.50","5,411.20","5,327.30",,0.68
46,Bayer Leverkusen,Arsenal FC,2002-02-19,1,1,F,UEFA CL,Bayer Leverkusen (Germany),Arsenal FC (England),germany,england,DE,ENG,Europe,Europe,Europe,international,2002-02-20,2002-02-20,"5,024.10","5,092.50","5,092.50","5,015.50",,-1.34
47,FC Nantes,Manchester United,2002-02-20,1,1,F,UEFA CL,FC Nantes (France),Manchester United (England),france,england,FR,ENG,Europe,Europe,Europe,international,2002-02-21,2002-02-21,"5,073.30","5,024.10","5,096.60","5,024.10",,0.98
48,Liverpool FC,Galatasaray,2002-02-20,0,0,F,UEFA CL,Liverpool FC (England),Galatasaray (Turkey),england,turkey,ENG,TR,Europe,Europe,Europe,international,2002-02-21,2002-02-21,"5,073.30","5,024.10","5,096.60","5,024.10",,0.98
49,Manchester United,FC Nantes,2002-02-26,5,1,F,UEFA CL,Manchester United (England),FC Nantes (France),england,france,ENG,FR,Europe,Europe,Europe,international,2002-02-27,2002-02-27,"5,178.40","5,139.00","5,196.90","5,129.60",,0.77
50,Galatasaray,Liverpool FC,2002-02-26,1,1,F,UEFA CL,Galatasaray (Turkey),Liverpool FC (England),turkey,england,TR,ENG,Europe,Europe,Europe,international,2002-02-27,2002-02-27,"5,178.40","5,139.00","5,196.90","5,129.60",,0.77
51,Arsenal FC,Bayer Leverkusen,2002-02-27,4,1,F,UEFA CL,Arsenal FC (England),Bayer Leverkusen (Germany),england,germany,ENG,DE,Europe,Europe,Europe,international,2002-02-28,2002-02-28,"5,101.00","5,178.40","5,178.40","5,093.70",,-1.49
52,Arsenal FC,Deportivo La Coruna,2002-03-12,0,2,F,UEFA CL,Arsenal FC (England),Deportivo La Coruna (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,2002-03-13,2002-03-13,"5,272.00","5,252.50","5,307.30","5,237.60",,0.37
53,Manchester United,Bayern Muenchen,2002-03-13,0,0,F,UEFA CL,Manchester United (England),Bayern Muenchen (Germany),england,germany,ENG,DE,Europe,Europe,Europe,international,2002-03-14,2002-03-14,"5,261.40","5,272.00","5,272.00","5,237.20",,-0.2
54,FC Barcelona,Liverpool FC,2002-03-13,0,0,F,UEFA CL,FC Barcelona (Spain),Liverpool FC (England),spain,england,ES,ENG,Europe,Europe,Europe,international,2002-03-14,2002-03-14,"5,261.40","5,272.00","5,272.00","5,237.20",,-0.2
55,Boavista Porto,Manchester United,2002-03-19,0,3,F,UEFA CL,Boavista Porto (Portugal),Manchester United (England),portugal,england,PT,ENG,Europe,Europe,Europe,international,2002-03-20,2002-03-20,"5,266.90","5,316.10","5,316.10","5,253.50",,-0.93
56,Liverpool FC,As Roma,2002-03-19,2,0,F,UEFA CL,Liverpool FC (England),As Roma (Italy),england,italy,ENG,IT,Europe,Europe,Europe,international,2002-03-20,2002-03-20,"5,266.90","5,316.10","5,316.10","5,253.50",,-0.93
57,Juventus,Arsenal FC,2002-03-20,1,0,F,UEFA CL,Juventus (Italy),Arsenal FC (England),italy,england,IT,ENG,Europe,Europe,Europe,international,2002-03-21,2002-03-21,"5,253.30","5,266.90","5,279.70","5,240.10",,-0.26
58,Deportivo La Coruna,Manchester United,2002-04-02,0,2,F,UEFA CL,Deportivo La Coruna (Spain),Manchester United (England),spain,england,ES,ENG,Europe,Europe,Europe,international,2002-04-03,2002-04-03,"5,247.80","5,251.40","5,268.40","5,235.40",,-0.07
59,Liverpool FC,Bayer Leverkusen,2002-04-03,1,0,F,UEFA CL,Liverpool FC (England),Bayer Leverkusen (Germany),england,germany,ENG,DE,Europe,Europe,Europe,international,2002-04-04,2002-04-04,"5,209.50","5,247.80","5,247.80","5,187.70",,-0.73
60,Bayer Leverkusen,Liverpool FC,2002-04-09,4,2,F,UEFA CL,Bayer Leverkusen (Germany),Liverpool FC (England),germany,england,DE,ENG,Europe,Europe,Europe,international,2002-04-10,2002-04-10,"5,229.10","5,179.60","5,236.10","5,155.10",,0.96
61,Manchester United,Deportivo La Coruna,2002-04-10,3,2,F,UEFA CL,Manchester United (England),Deportivo La Coruna (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,2002-04-11,2002-04-11,"5,137.40","5,229.10","5,243.70","5,136.30",,-1.75
62,Manchester United,Bayer Leverkusen,2002-04-24,2,2,F,UEFA CL,Manchester United (England),Bayer Leverkusen (Germany),england,germany,ENG,DE,Europe,Europe,Europe,international,2002-04-25,2002-04-25,"5,197.50","5,218.20","5,218.20","5,116.00",,-0.4
63,Bayer Leverkusen,Manchester United,2002-04-30,1,1,F,UEFA CL,Bayer Leverkusen (Germany),Manchester United (England),germany,england,DE,ENG,Europe,Europe,Europe,international,2002-05-01,2002-05-01,"5,125.50","5,165.60","5,177.70","5,125.00",,-0.78
64,Zeljeznicar Sarajevo,Newcastle United,2002-08-13,0,1,F,UEFA CL,Zeljeznicar Sarajevo (Bosnia Herzegovina),Newcastle United (England),bosnia-herzegovina,england,BOS,ENG,Europe,Europe,Europe,international,2002-08-14,2002-08-14,"4,171.10","4,271.70","4,271.70","4,158.30",,-2.36
65,Zalaegerszegi Te,Manchester United,2002-08-13,1,0,F,UEFA CL,Zalaegerszegi Te (Hungary),Manchester United (England),hungary,england,HU,ENG,Europe,Europe,Europe,international,2002-08-14,2002-08-14,"4,171.10","4,271.70","4,271.70","4,158.30",,-2.36
66,Newcastle United,Zeljeznicar Sarajevo,2002-08-27,4,0,F,UEFA CL,Newcastle United (England),Zeljeznicar Sarajevo (Bosnia Herzegovina),england,bosnia-herzegovina,ENG,BOS,Europe,Europe,Europe,international,2002-08-28,2002-08-28,"4,274.00","4,449.70","4,449.70","4,274.00",,-3.95
67,Manchester United,Zalaegerszegi Te,2002-08-27,5,0,F,UEFA CL,Manchester United (England),Zalaegerszegi Te (Hungary),england,hungary,ENG,HU,Europe,Europe,Europe,international,2002-08-28,2002-08-28,"4,274.00","4,449.70","4,449.70","4,274.00",,-3.95
68,Arsenal FC,Borussia Dortmund,2002-09-17,2,0,F,UEFA CL,Arsenal FC (England),Borussia Dortmund (Germany),england,germany,ENG,DE,Europe,Europe,Europe,international,2002-09-18,2002-09-18,"3,865.40","4,025.10","4,025.10","3,865.40",,-3.97
69,Valencia CF,Liverpool FC,2002-09-17,2,0,F,UEFA CL,Valencia CF (Spain),Liverpool FC (England),spain,england,ES,ENG,Europe,Europe,Europe,international,2002-09-18,2002-09-18,"3,865.40","4,025.10","4,025.10","3,865.40",,-3.97
70,Dinamo Kiev,Newcastle United,2002-09-18,2,0,F,UEFA CL,Dinamo Kiev (Ukraine),Newcastle United (England),ukraine,england,UA,ENG,Europe,Europe,Europe,international,2002-09-19,2002-09-19,"3,813.50","3,865.40","3,896.90","3,781.60",,-1.34
71,Manchester United,Maccabi Haifa,2002-09-18,5,2,F,UEFA CL,Manchester United (England),Maccabi Haifa (Israel),england,israel,ENG,IL,Europe,Europe,Europe,international,2002-09-19,2002-09-19,"3,813.50","3,865.40","3,896.90","3,781.60",,-1.34
72,Newcastle United,Feyenoord,2002-09-24,0,1,F,UEFA CL,Newcastle United (England),Feyenoord (Netherlands),england,netherlands,ENG,NL,Europe,Europe,Europe,international,2002-09-25,2002-09-25,"3,696.20","3,671.10","3,771.50","3,624.20",,0.68
73,Bayer Leverkusen,Manchester United,2002-09-24,1,2,F,UEFA CL,Bayer Leverkusen (Germany),Manchester United (England),germany,england,DE,ENG,Europe,Europe,Europe,international,2002-09-25,2002-09-25,"3,696.20","3,671.10","3,771.50","3,624.20",,0.68
74,PSV Eindhoven,Arsenal FC,2002-09-25,0,4,F,UEFA CL,PSV Eindhoven (Netherlands),Arsenal FC (England),netherlands,england,NL,ENG,Europe,Europe,Europe,international,2002-09-26,2002-09-26,"3,850.60","3,696.20","3,850.60","3,696.20",,4.18
75,Liverpool FC,FC Basel,2002-09-25,1,1,F,UEFA CL,Liverpool FC (England),FC Basel (Switzerland),england,switzerland,ENG,CH,Europe,Europe,Europe,international,2002-09-26,2002-09-26,"3,850.60","3,696.20","3,850.60","3,696.20",,4.18
76,Juventus,Newcastle United,2002-10-01,2,0,F,UEFA CL,Juventus (Italy),Newcastle United (England),italy,england,IT,ENG,Europe,Europe,Europe,international,2002-10-02,2002-10-02,"3,905.20","3,797.40","3,925.60","3,797.40",,2.84
77,Manchester United,Olympiakos Piraeus,2002-10-01,4,0,F,UEFA CL,Manchester United (England),Olympiakos Piraeus (Greece),england,greece,ENG,GR,Europe,Europe,Europe,international,2002-10-02,2002-10-02,"3,905.20","3,797.40","3,925.60","3,797.40",,2.84
78,Aj Auxerre,Arsenal FC,2002-10-02,0,1,F,UEFA CL,Aj Auxerre (France),Arsenal FC (England),france,england,FR,ENG,Europe,Europe,Europe,international,2002-10-03,2002-10-03,"3,880.30","3,905.20","3,961.50","3,855.50",,-0.64
79,Liverpool FC,Spartak Moskva,2002-10-02,5,0,F,UEFA CL,Liverpool FC (England),Spartak Moskva (Russia),england,russia,ENG,RU,Europe,Europe,Europe,international,2002-10-03,2002-10-03,"3,880.30","3,905.20","3,961.50","3,855.50",,-0.64
80,Arsenal FC,Aj Auxerre,2002-10-22,1,2,F,UEFA CL,Arsenal FC (England),Aj Auxerre (France),england,france,ENG,FR,Europe,Europe,Europe,international,2002-10-23,2002-10-23,"4,006.90","4,118.90","4,166.60","4,006.90",,-2.72
81,Spartak Moskva,Liverpool FC,2002-10-22,1,3,F,UEFA CL,Spartak Moskva (Russia),Liverpool FC (England),russia,england,RU,ENG,Europe,Europe,Europe,international,2002-10-23,2002-10-23,"4,006.90","4,118.90","4,166.60","4,006.90",,-2.72
82,Newcastle United,Juventus,2002-10-23,1,0,F,UEFA CL,Newcastle United (England),Juventus (Italy),england,italy,ENG,IT,Europe,Europe,Europe,international,2002-10-24,2002-10-24,"4,103.70","4,006.90","4,107.70","4,006.90",,2.42
83,Olympiakos Piraeus,Manchester United,2002-10-23,2,3,F,UEFA CL,Olympiakos Piraeus (Greece),Manchester United (England),greece,england,GR,ENG,Europe,Europe,Europe,international,2002-10-24,2002-10-24,"4,103.70","4,006.90","4,107.70","4,006.90",,2.42
84,Newcastle United,Dinamo Kiev,2002-10-29,2,1,F,UEFA CL,Newcastle United (England),Dinamo Kiev (Ukraine),england,ukraine,ENG,UA,Europe,Europe,Europe,international,2002-10-30,2002-10-30,"4,002.70","3,935.90","4,002.70","3,934.60",,1.7
85,Maccabi Haifa,Manchester United,2002-10-29,3,0,F,UEFA CL,Maccabi Haifa (Israel),Manchester United (England),israel,england,IL,ENG,Europe,Europe,Europe,international,2002-10-30,2002-10-30,"4,002.70","3,935.90","4,002.70","3,934.60",,1.7
86,Borussia Dortmund,Arsenal FC,2002-10-30,2,1,F,UEFA CL,Borussia Dortmund (Germany),Arsenal FC (England),germany,england,DE,ENG,Europe,Europe,Europe,international,2002-10-31,2002-10-31,"4,039.70","4,002.70","4,073.00","3,978.70",,0.92
87,Liverpool FC,Valencia CF,2002-10-30,0,1,F,UEFA CL,Liverpool FC (England),Valencia CF (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,2002-10-31,2002-10-31,"4,039.70","4,002.70","4,073.00","3,978.70",,0.92
88,Arsenal FC,PSV Eindhoven,2002-11-12,0,0,F,UEFA CL,Arsenal FC (England),PSV Eindhoven (Netherlands),england,netherlands,ENG,NL,Europe,Europe,Europe,international,2002-11-13,2002-11-13,"4,029.40","4,085.00","4,085.00","3,986.90",,-1.36
89,FC Basel,Liverpool FC,2002-11-12,3,3,F,UEFA CL,FC Basel (Switzerland),Liverpool FC (England),switzerland,england,CH,ENG,Europe,Europe,Europe,international,2002-11-13,2002-11-13,"4,029.40","4,085.00","4,085.00","3,986.90",,-1.36
90,Feyenoord,Newcastle United,2002-11-13,2,3,F,UEFA CL,Feyenoord (Netherlands),Newcastle United (England),netherlands,england,NL,ENG,Europe,Europe,Europe,international,2002-11-14,2002-11-14,"4,053.10","4,029.40","4,064.00","3,985.40",,0.59
91,Manchester United,Bayer Leverkusen,2002-11-13,2,0,F,UEFA CL,Manchester United (England),Bayer Leverkusen (Germany),england,germany,ENG,DE,Europe,Europe,Europe,international,2002-11-14,2002-11-14,"4,053.10","4,029.40","4,064.00","3,985.40",,0.59
92,FC Basel,Manchester United,2002-11-26,1,3,F,UEFA CL,FC Basel (Switzerland),Manchester United (England),switzerland,england,CH,ENG,Europe,Europe,Europe,international,2002-11-27,2002-11-27,"4,144.20","4,071.00","4,146.20","4,060.90",,1.8
93,Newcastle United,Inter,2002-11-27,1,4,F,UEFA CL,Newcastle United (England),Inter (Italy),england,italy,ENG,IT,Europe,Europe,Europe,international,2002-11-28,2002-11-28,"4,185.40","4,144.20","4,202.20","4,138.90",,0.99
94,As Roma,Arsenal FC,2002-11-27,1,3,F,UEFA CL,As Roma (Italy),Arsenal FC (England),italy,england,IT,ENG,Europe,Europe,Europe,international,2002-11-28,2002-11-28,"4,185.40","4,144.20","4,202.20","4,138.90",,0.99
95,Arsenal FC,Valencia CF,2002-12-10,0,0,F,UEFA CL,Arsenal FC (England),Valencia CF (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,2002-12-11,2002-12-11,"3,974.90","3,925.00","3,995.00","3,919.90",,1.27
96,FC Barcelona,Newcastle United,2002-12-11,3,1,F,UEFA CL,FC Barcelona (Spain),Newcastle United (England),spain,england,ES,ENG,Europe,Europe,Europe,international,2002-12-12,2002-12-12,"3,935.30","3,974.90","3,982.30","3,916.00",,-1.0
97,Manchester United,Deportivo La Coruna,2002-12-11,2,0,F,UEFA CL,Manchester United (England),Deportivo La Coruna (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,2002-12-12,2002-12-12,"3,935.30","3,974.90","3,982.30","3,916.00",,-1.0
98,Bayer Leverkusen,Newcastle United,2003-02-18,1,3,F,UEFA CL,Bayer Leverkusen (Germany),Newcastle United (England),germany,england,DE,ENG,Europe,Europe,Europe,international,2003-02-19,2003-02-19,"3,658.30","3,729.50","3,738.50","3,657.90",,-1.91
99,Arsenal FC,AFC Ajax,2003-02-18,1,1,F,UEFA CL,Arsenal FC (England),AFC Ajax (Netherlands),england,netherlands,ENG,NL,Europe,Europe,Europe,international,2003-02-19,2003-02-19,"3,658.30","3,729.50","3,738.50","3,657.90",,-1.91
100,Manchester United,Juventus,2003-02-19,2,1,F,UEFA CL,Manchester United (England),Juventus (Italy),england,italy,ENG,IT,Europe,Europe,Europe,international,2003-02-20,2003-02-20,"3,687.20","3,658.30","3,724.70","3,655.80",,0.79
101,Juventus,Manchester United,2003-02-25,0,3,F,UEFA CL,Juventus (Italy),Manchester United (England),italy,england,IT,ENG,Europe,Europe,Europe,international,2003-02-26,2003-02-26,"3,593.30","3,621.50","3,652.00","3,558.80",,-0.78
102,Newcastle United,Bayer Leverkusen,2003-02-26,3,1,F,UEFA CL,Newcastle United (England),Bayer Leverkusen (Germany),england,germany,ENG,DE,Europe,Europe,Europe,international,2003-02-27,2003-02-27,"3,569.90","3,593.30","3,627.40","3,535.10",,-0.65
103,AFC Ajax,Arsenal FC,2003-02-26,0,0,F,UEFA CL,AFC Ajax (Netherlands),Arsenal FC (England),netherlands,england,NL,ENG,Europe,Europe,Europe,international,2003-02-27,2003-02-27,"3,569.90","3,593.30","3,627.40","3,535.10",,-0.65
