,home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level,home_team,away_team,team,scorer,minute,own_goal,penalty,home_score,away_score,tournament,city,country,neutral,winner,first_shooter,Price,Open,High,Low,Vol.,Change %,next_day
44573,Liverpool FC,Grazer Ak,2004-08-24,0.0,1.0,F,UEFA CL,Liverpool FC (England),Grazer Ak (Austria),england,austria,ENG,AT,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,407.50","4,405.30","4,421.20","4,402.40",,0.05,2004-08-25
44629,Olympiakos Piraeus,Liverpool FC,2004-09-28,1.0,0.0,F,UEFA CL,Olympiakos Piraeus (Greece),Liverpool FC (England),greece,england,GR,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,567.30","4,541.20","4,576.20","4,528.10",,0.57,2004-09-29
44633,Ferencvarosi Tc,Millwall FC,2004-09-30,3.0,1.0,F,UEFA EL,Ferencvarosi Tc (Hungary),Millwall FC (England),hungary,england,HU,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,570.80","4,588.10","4,607.80","4,569.10",,-0.38,2004-10-01
44718,As Monaco,Liverpool FC,2004-11-23,1.0,0.0,F,UEFA CL,As Monaco (France),Liverpool FC (England),france,england,FR,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,742.40","4,733.10","4,767.70","4,733.10",,0.2,2004-11-24
44723,Villarreal CF,Middlesbrough FC,2004-11-25,2.0,0.0,F,UEFA EL,Villarreal CF (Spain),Middlesbrough FC (England),spain,england,ES,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,753.40","4,719.40","4,753.40","4,719.40",,0.72,2004-11-26
44745,FC Porto,Chelsea FC,2004-12-07,2.0,1.0,F,UEFA CL,FC Porto (Portugal),Chelsea FC (England),portugal,england,PT,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,728.70","4,722.80","4,741.50","4,717.30",,0.12,2004-12-08
44747,Fenerbahce,Manchester United,2004-12-08,3.0,0.0,F,UEFA CL,Fenerbahce (Turkey),Manchester United (England),turkey,england,TR,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,703.90","4,728.70","4,728.70","4,695.60",,-0.52,2004-12-09
44862,Bayern Muenchen,Arsenal FC,2005-02-22,3.0,1.0,F,UEFA CL,Bayern Muenchen (Germany),Arsenal FC (England),germany,england,DE,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,032.90","5,060.80","5,063.30","5,013.20",,-0.55,2005-02-23
44863,FC Barcelona,Chelsea FC,2005-02-23,2.0,1.0,F,UEFA CL,FC Barcelona (Spain),Chelsea FC (England),spain,england,ES,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,988.50","5,032.90","5,032.90","4,970.80",,-0.88,2005-02-24
44864,Manchester United,AC Milan,2005-02-23,0.0,1.0,F,UEFA CL,Manchester United (England),AC Milan (Italy),england,italy,ENG,IT,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,988.50","5,032.90","5,032.90","4,970.80",,-0.88,2005-02-24
44886,AC Milan,Manchester United,2005-03-08,1.0,0.0,F,UEFA CL,AC Milan (Italy),Manchester United (England),italy,england,IT,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,010.90","5,027.20","5,029.60","5,001.90",,-0.32,2005-03-09
44890,Middlesbrough FC,Sporting CP,2005-03-10,2.0,3.0,F,UEFA EL,Middlesbrough FC (England),Sporting CP (Portugal),england,portugal,ENG,PT,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,962.10","4,996.10","4,996.10","4,956.80",,-0.68,2005-03-11
44895,Sporting CP,Middlesbrough FC,2005-03-17,1.0,0.0,F,UEFA EL,Sporting CP (Portugal),Middlesbrough FC (England),portugal,england,PT,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,922.10","4,937.60","4,952.90","4,920.00",,-0.31,2005-03-18
44929,Bayern Muenchen,Chelsea FC,2005-04-12,3.0,2.0,F,UEFA CL,Bayern Muenchen (Germany),Chelsea FC (England),germany,england,DE,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,946.20","4,973.20","4,973.80","4,941.10",,-0.54,2005-04-13
44931,Sporting CP,Newcastle United,2005-04-14,4.0,1.0,F,UEFA EL,Sporting CP (Portugal),Newcastle United (England),portugal,england,PT,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,945.40","4,960.80","4,960.80","4,937.00",,-0.31,2005-04-15
45001,Deportivo La Coruna,Newcastle United,2005-07-27,2.0,1.0,F,UEFA ITC,Deportivo La Coruna (Spain),Newcastle United (England),spain,england,ES,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,263.60","5,256.20","5,275.20","5,253.50",,0.14,2005-07-28
45003,Newcastle United,Deportivo La Coruna,2005-08-03,1.0,2.0,F,UEFA ITC,Newcastle United (England),Deportivo La Coruna (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,332.30","5,327.50","5,332.30","5,304.00",,0.09,2005-08-04
45004,Everton FC,Villarreal CF,2005-08-09,1.0,2.0,F,UEFA CL,Everton FC (England),Villarreal CF (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,363.70","5,344.30","5,363.70","5,342.70",,0.36,2005-08-10
45030,Liverpool FC,CSKA Sofia,2005-08-23,0.0,1.0,F,UEFA CL,Liverpool FC (England),CSKA Sofia (Bulgaria),england,bulgaria,ENG,BG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,300.20","5,318.40","5,318.40","5,294.80",,-0.34,2005-08-24
45036,Villarreal CF,Everton FC,2005-08-24,2.0,1.0,F,UEFA CL,Villarreal CF (Spain),Everton FC (England),spain,england,ES,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,275.20","5,300.20","5,300.20","5,270.00",,-0.47,2005-08-25
45061,Dinamo Bucuresti,Everton FC,2005-09-15,5.0,1.0,F,UEFA EL,Dinamo Bucuresti (Romania),Everton FC (England),romania,england,RO,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,383.50","5,347.40","5,387.10","5,342.50",,0.68,2005-09-16
45136,Real Betis,Chelsea FC,2005-11-01,1.0,0.0,F,UEFA CL,Real Betis (Spain),Chelsea FC (England),spain,england,ES,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,344.30","5,317.30","5,350.30","5,304.90",,0.51,2005-11-02
45139,Lille OSC,Manchester United,2005-11-02,1.0,0.0,F,UEFA CL,Lille OSC (France),Manchester United (England),france,england,FR,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,358.60","5,344.30","5,364.70","5,316.00",,0.27,2005-11-03
45190,Sl Benfica,Manchester United,2005-12-07,2.0,1.0,F,UEFA CL,Sl Benfica (Portugal),Manchester United (England),portugal,england,PT,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,528.80","5,538.80","5,574.00","5,518.40",,-0.18,2005-12-08
45310,Sl Benfica,Liverpool FC,2006-02-21,1.0,0.0,F,UEFA CL,Sl Benfica (Portugal),Liverpool FC (England),portugal,england,PT,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,857.70","5,863.00","5,888.00","5,856.90",,-0.09,2006-02-22
45312,Chelsea FC,FC Barcelona,2006-02-22,1.0,2.0,F,UEFA CL,Chelsea FC (England),FC Barcelona (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,872.40","5,857.70","5,877.60","5,836.80",,0.25,2006-02-23
45313,Middlesbrough FC,Vfb Stuttgart,2006-02-23,0.0,1.0,F,UEFA EL,Middlesbrough FC (England),Vfb Stuttgart (Germany),england,germany,ENG,DE,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,836.00","5,872.40","5,878.80","5,829.40",,-0.62,2006-02-24
45314,Olympique Marseille,Bolton Wanderers,2006-02-23,2.0,1.0,F,UEFA EL,Olympique Marseille (France),Bolton Wanderers (England),france,england,FR,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,836.00","5,872.40","5,878.80","5,829.40",,-0.62,2006-02-24
45335,Liverpool FC,Sl Benfica,2006-03-08,0.0,2.0,F,UEFA CL,Liverpool FC (England),Sl Benfica (Portugal),england,portugal,ENG,PT,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,812.90","5,857.40","5,857.60","5,790.90",,-0.76,2006-03-09
45348,As Roma,Middlesbrough FC,2006-03-15,2.0,1.0,F,UEFA EL,As Roma (Italy),Middlesbrough FC (England),italy,england,IT,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,965.10","5,950.60","5,980.50","5,950.60",,0.24,2006-03-16
45370,FC Basel,Middlesbrough FC,2006-03-30,2.0,0.0,F,UEFA EL,FC Basel (Switzerland),Middlesbrough FC (England),switzerland,england,CH,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"6,015.20","5,959.20","6,036.00","5,959.20",,0.94,2006-03-31
45413,Steaua Bucuresti,Middlesbrough FC,2006-04-20,1.0,0.0,F,UEFA EL,Steaua Bucuresti (Romania),Middlesbrough FC (England),romania,england,RO,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"6,081.40","6,089.80","6,113.40","6,074.20",,-0.14,2006-04-21
45449,Middlesbrough FC,Sevilla FC,2006-05-10,0.0,4.0,F,UEFA EL,Middlesbrough FC (England),Sevilla FC (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"6,083.40","6,105.60","6,110.00","6,079.60",,-0.36,2006-05-11
45450,FC Barcelona,Arsenal FC,2006-05-17,2.0,1.0,F,UEFA CL,FC Barcelona (Spain),Arsenal FC (England),spain,england,ES,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,675.50","5,846.20","5,871.60","5,675.50",,-2.92,2006-05-18
45504,West Ham United,US Palermo,2006-09-14,0.0,1.0,F,UEFA EL,West Ham United (England),US Palermo (Italy),england,italy,ENG,IT,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,877.20","5,892.20","5,943.70","5,869.00",,-0.25,2006-09-15
45532,US Palermo,West Ham United,2006-09-28,3.0,0.0,F,UEFA EL,US Palermo (Italy),West Ham United (England),italy,england,IT,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,971.30","5,930.10","5,978.80","5,930.10",,0.69,2006-09-29
45554,CSka Moskva,Arsenal FC,2006-10-17,1.0,0.0,F,UEFA CL,CSka Moskva (Russia),Arsenal FC (England),russia,england,RU,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"6,108.60","6,172.40","6,174.70","6,105.80",,-1.03,2006-10-18
45583,FC Koebenhavn,Manchester United,2006-11-01,1.0,0.0,F,UEFA CL,FC Koebenhavn (Denmark),Manchester United (England),denmark,england,DK,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"6,149.60","6,129.20","6,180.70","6,129.20",,0.33,2006-11-02
45618,Celtic FC,Manchester United,2006-11-21,1.0,0.0,F,UEFA CL,Celtic FC (Scotland),Manchester United (England),scotland,england,SCO,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"6,202.60","6,204.50","6,228.40","6,199.70",,-0.03,2006-11-22
45620,Werder Bremen,Chelsea FC,2006-11-22,1.0,0.0,F,UEFA CL,Werder Bremen (Germany),Chelsea FC (England),germany,england,DE,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"6,160.30","6,202.60","6,233.10","6,146.30",,-0.68,2006-11-23
45653,Galatasaray,Liverpool FC,2006-12-05,3.0,2.0,F,UEFA CL,Galatasaray (Turkey),Liverpool FC (England),turkey,england,TR,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"6,086.40","6,050.40","6,097.40","6,047.10",,0.6,2006-12-06
45770,Bayer Leverkusen,Blackburn Rovers,2007-02-14,3.0,2.0,F,UEFA EL,Bayer Leverkusen (Germany),Blackburn Rovers (England),germany,england,DE,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"6,421.20","6,381.80","6,421.20","6,378.60",,0.62,2007-02-15
45772,PSV Eindhoven,Arsenal FC,2007-02-20,1.0,0.0,F,UEFA CL,PSV Eindhoven (Netherlands),Arsenal FC (England),netherlands,england,NL,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"6,412.30","6,444.40","6,448.10","6,392.40",,-0.5,2007-02-21
45799,Liverpool FC,FC Barcelona,2007-03-06,0.0,1.0,F,UEFA CL,Liverpool FC (England),FC Barcelona (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"6,138.50","6,058.70","6,138.50","6,058.70",,1.32,2007-03-07
45807,AZ Alkmaar,Newcastle United,2007-03-15,2.0,0.0,F,UEFA EL,AZ Alkmaar (Netherlands),Newcastle United (England),netherlands,england,NL,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"6,133.20","6,000.70","6,133.20","6,000.70",,2.21,2007-03-16
45829,As Roma,Manchester United,2007-04-04,2.0,1.0,F,UEFA CL,As Roma (Italy),Manchester United (England),italy,england,IT,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"6,364.70","6,366.10","6,380.50","6,345.90",,-0.02,2007-04-05
45831,Sevilla FC,Tottenham Hotspur,2007-04-05,2.0,1.0,F,UEFA EL,Sevilla FC (Spain),Tottenham Hotspur (England),spain,england,ES,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"6,397.30","6,364.70","6,398.70","6,350.30",,0.51,2007-04-06
45888,AC Milan,Manchester United,2007-05-02,3.0,0.0,F,UEFA CL,AC Milan (Italy),Manchester United (England),italy,england,IT,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"6,484.50","6,419.60","6,489.00","6,419.60",,1.01,2007-05-03
45911,AC Milan,Liverpool FC,2007-05-23,2.0,1.0,F,UEFA CL,AC Milan (Italy),Liverpool FC (England),italy,england,IT,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"6,616.40","6,606.60","6,643.80","6,602.50",,0.15,2007-05-24
45981,Ae Larisa,Blackburn Rovers,2007-09-20,2.0,0.0,F,UEFA EL,Ae Larisa (Greece),Blackburn Rovers (England),greece,england,GR,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"6,429.00","6,460.00","6,460.00","6,395.10",,-0.48,2007-09-21
46007,Liverpool FC,Olympique Marseille,2007-10-03,0.0,1.0,F,UEFA CL,Liverpool FC (England),Olympique Marseille (France),england,france,ENG,FR,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"6,535.20","6,500.40","6,542.80","6,495.00",,0.54,2007-10-04
46035,Besiktas,Liverpool FC,2007-10-24,2.0,1.0,F,UEFA CL,Besiktas (Turkey),Liverpool FC (England),turkey,england,TR,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"6,482.00","6,514.00","6,550.90","6,460.90",,-0.49,2007-10-25
46039,Tottenham Hotspur,Getafe CF,2007-10-25,1.0,2.0,F,UEFA EL,Tottenham Hotspur (England),Getafe CF (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"6,576.30","6,482.00","6,587.60","6,482.00",,1.45,2007-10-26
46088,Sevilla FC,Arsenal FC,2007-11-27,3.0,1.0,F,UEFA CL,Sevilla FC (Spain),Arsenal FC (England),spain,england,ES,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"6,140.70","6,180.50","6,197.10","6,061.80",,-0.64,2007-11-28
46256,Acf Fiorentina,Everton FC,2008-03-06,2.0,0.0,F,UEFA EL,Acf Fiorentina (Italy),Everton FC (England),italy,england,IT,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,766.40","5,853.50","5,871.10","5,753.10",,-1.49,2008-03-07
46258,Tottenham Hotspur,PSV Eindhoven,2008-03-06,0.0,1.0,F,UEFA EL,Tottenham Hotspur (England),PSV Eindhoven (Netherlands),england,netherlands,ENG,NL,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,766.40","5,853.50","5,871.10","5,753.10",,-1.49,2008-03-07
46271,Sporting CP,Bolton Wanderers,2008-03-13,1.0,0.0,F,UEFA EL,Sporting CP (Portugal),Bolton Wanderers (England),portugal,england,PT,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,692.40","5,776.40","5,776.40","5,628.90",,-1.45,2008-03-14
46306,Fenerbahce,Chelsea FC,2008-04-02,2.0,1.0,F,UEFA CL,Fenerbahce (Turkey),Chelsea FC (England),turkey,england,TR,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,915.90","5,852.60","5,920.10","5,827.20",,1.08,2008-04-03
46382,Manchester City,FC Midtjylland,2008-08-14,0.0,1.0,F,UEFA EL,Manchester City (England),FC Midtjylland (Denmark),england,denmark,ENG,DK,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,497.40","5,448.60","5,539.60","5,445.60",,0.9,2008-08-15
46407,Manchester United,Zenit St Petersburg,2008-08-29,1.0,2.0,F,UEFA SC,Manchester United (England),Zenit St Petersburg (Russia),england,russia,ENG,RU,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,636.60","5,601.20","5,649.10","5,587.40",,0.63,2008-08-30
46461,Standard Liege,Everton FC,2008-10-02,2.0,1.0,F,UEFA EL,Standard Liege (Belgium),Everton FC (England),belgium,england,BE,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,870.30","4,959.60","5,052.00","4,862.10",,-1.8,2008-10-03
46489,Udinese Calcio,Tottenham Hotspur,2008-10-23,2.0,0.0,F,UEFA EL,Udinese Calcio (Italy),Tottenham Hotspur (England),italy,england,IT,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,087.80","4,040.90","4,108.40","3,927.60",,1.16,2008-10-24
46491,Sporting Braga,Portsmouth FC,2008-10-23,3.0,0.0,F,UEFA EL,Sporting Braga (Portugal),Portsmouth FC (England),portugal,england,PT,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,087.80","4,040.90","4,108.40","3,927.60",,1.16,2008-10-24
46522,As Roma,Chelsea FC,2008-11-04,3.0,1.0,F,UEFA CL,As Roma (Italy),Chelsea FC (England),italy,england,IT,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,639.50","4,443.30","4,639.50","4,404.20",,4.42,2008-11-05
46577,Aston Villa,MSk Zilina,2008-12-04,1.0,2.0,F,UEFA EL,Aston Villa (England),MSk Zilina (Slovakia),england,slovakia,ENG,SK,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,163.60","4,170.00","4,261.10","4,090.00",,-0.15,2008-12-05
46578,Vfl Wolfsburg,Portsmouth FC,2008-12-04,3.0,2.0,F,UEFA EL,Vfl Wolfsburg (Germany),Portsmouth FC (England),germany,england,DE,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,163.60","4,170.00","4,261.10","4,090.00",,-0.15,2008-12-05
46592,FC Porto,Arsenal FC,2008-12-10,2.0,0.0,F,UEFA CL,FC Porto (Portugal),Arsenal FC (England),portugal,england,PT,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,367.30","4,381.30","4,407.10","4,330.00",,-0.32,2008-12-11
46603,Hamburger SV,Aston Villa,2008-12-17,3.0,1.0,F,UEFA EL,Hamburger SV (Germany),Aston Villa (England),germany,england,DE,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,324.20","4,309.10","4,341.10","4,231.10",,0.35,2008-12-18
46606,Racing Santander,Manchester City,2008-12-18,3.0,1.0,F,UEFA EL,Racing Santander (Spain),Manchester City (England),spain,england,ES,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,330.70","4,324.20","4,352.70","4,282.60",,0.15,2008-12-19
46690,Shakhtar Donetsk,Tottenham Hotspur,2009-02-19,2.0,0.0,F,UEFA EL,Shakhtar Donetsk (Ukraine),Tottenham Hotspur (England),ukraine,england,UA,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,018.40","4,006.80","4,045.20","3,983.90",,0.29,2009-02-20
46706,CSka Moskva,Aston Villa,2009-02-26,2.0,0.0,F,UEFA EL,CSka Moskva (Russia),Aston Villa (England),russia,england,RU,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"3,915.60","3,849.00","3,948.20","3,849.00",,1.73,2009-02-27
46731,As Roma,Arsenal FC,2009-03-11,1.0,0.0,P,UEFA CL,As Roma (Italy),Arsenal FC (England),italy,england,IT,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"3,693.80","3,715.20","3,763.20","3,652.00",,-0.58,2009-03-12
46744,Aalborg Bk,Manchester City,2009-03-19,2.0,0.0,P,UEFA EL,Aalborg Bk (Denmark),Manchester City (England),denmark,england,DK,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"3,816.90","3,805.00","3,912.60","3,793.70",,0.31,2009-03-20
46768,Hamburger SV,Manchester City,2009-04-09,3.0,1.0,F,UEFA EL,Hamburger SV (Germany),Manchester City (England),germany,england,DE,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"3,983.70","3,925.50","3,986.30","3,912.00",,1.48,2009-04-10
46848,FC Barcelona,Manchester United,2009-05-27,2.0,0.0,F,UEFA CL,FC Barcelona (Spain),Manchester United (England),spain,england,ES,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,416.20","4,411.70","4,439.80","4,390.20",,0.1,2009-05-28
46868,Rapid Wien,Aston Villa,2009-08-20,1.0,0.0,F,UEFA EL,Rapid Wien (Austria),Aston Villa (England),austria,england,AT,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,756.60","4,689.70","4,766.90","4,689.70",,1.43,2009-08-21
46882,FK Amkar Perm,Fulham FC,2009-08-27,1.0,0.0,F,UEFA EL,FK Amkar Perm (Russia),Fulham FC (England),russia,england,RU,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,869.40","4,890.60","4,906.20","4,855.30",,-0.43,2009-08-28
46931,Acf Fiorentina,Liverpool FC,2009-09-29,2.0,0.0,F,UEFA CL,Acf Fiorentina (Italy),Liverpool FC (England),italy,england,IT,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,159.70","5,165.70","5,184.00","5,136.50",,-0.12,2009-09-30
46957,Liverpool FC,Olympique Lyon,2009-10-20,1.0,2.0,F,UEFA CL,Liverpool FC (England),Olympique Lyon (France),england,france,ENG,FR,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,243.40","5,281.50","5,298.50","5,243.40",,-0.72,2009-10-21
46961,Sl Benfica,Everton FC,2009-10-22,5.0,0.0,F,UEFA EL,Sl Benfica (Portugal),Everton FC (England),portugal,england,PT,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,207.40","5,257.90","5,257.90","5,166.50",,-0.96,2009-10-23
46988,As Roma,Fulham FC,2009-11-05,2.0,1.0,F,UEFA EL,As Roma (Italy),Fulham FC (England),italy,england,IT,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,125.60","5,107.10","5,154.60","5,036.90",,0.35,2009-11-06
46989,Everton FC,Sl Benfica,2009-11-05,0.0,2.0,F,UEFA EL,Everton FC (England),Sl Benfica (Portugal),england,portugal,ENG,PT,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,125.60","5,107.10","5,154.60","5,036.90",,0.35,2009-11-06
47014,Manchester United,Besiktas,2009-11-25,0.0,1.0,F,UEFA CL,Manchester United (England),Besiktas (Turkey),england,turkey,ENG,TR,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,364.80","5,324.00","5,372.20","5,324.00",,0.77,2009-11-26
47040,Liverpool FC,Acf Fiorentina,2009-12-09,1.0,2.0,F,UEFA CL,Liverpool FC (England),Acf Fiorentina (Italy),england,italy,ENG,IT,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,203.90","5,223.10","5,245.90","5,175.70",,-0.37,2009-12-10
47041,Olympiakos Piraeus,Arsenal FC,2009-12-09,1.0,0.0,F,UEFA CL,Olympiakos Piraeus (Greece),Arsenal FC (England),greece,england,GR,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,203.90","5,223.10","5,245.90","5,175.70",,-0.37,2009-12-10
47061,Everton FC,Bate Borisov,2009-12-17,0.0,1.0,F,UEFA EL,Everton FC (England),Bate Borisov (Belarus),england,belarus,ENG,BY,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,217.60","5,320.30","5,320.30","5,217.60",,-1.93,2009-12-18
47151,FC Porto,Arsenal FC,2010-02-17,2.0,1.0,F,UEFA CL,FC Porto (Portugal),Arsenal FC (England),portugal,england,PT,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,276.60","5,244.10","5,304.50","5,244.10",,0.62,2010-02-18
47165,Inter,Chelsea FC,2010-02-24,2.0,1.0,F,UEFA CL,Inter (Italy),Chelsea FC (England),italy,england,IT,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,342.90","5,315.10","5,357.90","5,298.20",,0.52,2010-02-25
47168,Sporting CP,Everton FC,2010-02-25,3.0,0.0,F,UEFA EL,Sporting CP (Portugal),Everton FC (England),portugal,england,PT,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,278.20","5,342.90","5,370.40","5,259.70",,-1.21,2010-02-26
47187,Lille OSC,Liverpool FC,2010-03-11,1.0,0.0,F,UEFA EL,Lille OSC (France),Liverpool FC (England),france,england,FR,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,617.30","5,640.60","5,642.90","5,594.70",,-0.41,2010-03-12
47188,Juventus,Fulham FC,2010-03-11,3.0,1.0,F,UEFA EL,Juventus (Italy),Fulham FC (England),italy,england,IT,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,617.30","5,640.60","5,642.90","5,594.70",,-0.41,2010-03-12
47200,Chelsea FC,Inter,2010-03-16,0.0,1.0,F,UEFA CL,Chelsea FC (England),Inter (Italy),england,italy,ENG,IT,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,620.40","5,593.90","5,637.70","5,593.90",,0.47,2010-03-17
47228,Bayern Muenchen,Manchester United,2010-03-30,2.0,1.0,F,UEFA CL,Bayern Muenchen (Germany),Manchester United (England),germany,england,DE,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,672.30","5,710.70","5,742.80","5,662.80",,-0.67,2010-03-31
47231,Sl Benfica,Liverpool FC,2010-04-01,2.0,1.0,F,UEFA EL,Sl Benfica (Portugal),Liverpool FC (England),portugal,england,PT,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,744.90","5,679.60","5,744.90","5,679.50",,1.15,2010-04-02
47242,FC Barcelona,Arsenal FC,2010-04-06,4.0,1.0,F,UEFA CL,FC Barcelona (Spain),Arsenal FC (England),spain,england,ES,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,780.40","5,744.90","5,790.40","5,744.60",,0.62,2010-04-07
47267,Atletico Madrid,Liverpool FC,2010-04-22,1.0,0.0,F,UEFA EL,Atletico Madrid (Spain),Liverpool FC (England),spain,england,ES,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,665.30","5,723.40","5,761.40","5,652.40",,-1.02,2010-04-23
