,home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level,home_team,away_team,team,scorer,minute,own_goal,penalty,home_score,away_score,tournament,city,country,neutral,winner,first_shooter,Price,Open,High,Low,Vol.,Change %,next_day
51063,Cardiff City,Wolverhampton Wanderers,2018-11-30,2.0,1.0,F,england,Cardiff City (Wales),Wolverhampton Wanderers (England),wales,england,WAL,ENG,Europe,Europe,Europe,national,,,,,,,,,,,,,,,,"6,980.24","7,038.95","7,042.07","6,965.60",1.22B,-0.83,2018-12-01
51096,Valencia CF,Manchester United,2018-12-12,2.0,1.0,F,UEFA CL,Valencia CF (Spain),Manchester United (England),spain,england,ES,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"6,880.19","6,806.94","6,902.19","6,806.94",1.10B,1.08,2018-12-13
51200,Manchester United,Paris Saint Germain,2019-02-12,0.0,2.0,F,UEFA CL,Manchester United (England),Paris Saint Germain (France),england,france,ENG,FR,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"7,133.14","7,129.11","7,168.61","7,121.72",542.97M,0.06,2019-02-13
51202,Bate Borisov,Arsenal FC,2019-02-14,1.0,0.0,F,UEFA EL,Bate Borisov (Belarus),Arsenal FC (England),belarus,england,BY,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"7,197.01","7,190.84","7,232.83","7,183.01",535.04M,0.09,2019-02-15
51238,Stade Rennes,Arsenal FC,2019-03-07,3.0,1.0,F,UEFA EL,Stade Rennes (France),Arsenal FC (England),france,england,FR,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"7,157.55","7,196.00","7,196.00","7,126.57",712.68M,-0.53,2019-03-08
51282,Manchester United,FC Barcelona,2019-04-10,0.0,1.0,F,UEFA CL,Manchester United (England),FC Barcelona (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"7,421.91","7,425.57","7,441.36","7,409.39",587.36M,-0.05,2019-04-11
51295,Brighton Hove Albion,Cardiff City,2019-04-16,0.0,2.0,F,england,Brighton Hove Albion (England),Cardiff City (Wales),england,wales,ENG,WAL,Europe,Europe,Europe,national,,,,,,,,,,,,,,,,"7,469.92","7,436.87","7,485.93","7,436.87",642.95M,0.44,2019-04-17
51296,FC Barcelona,Manchester United,2019-04-16,3.0,0.0,F,UEFA CL,FC Barcelona (Spain),Manchester United (England),spain,england,ES,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"7,469.92","7,436.87","7,485.93","7,436.87",642.95M,0.44,2019-04-17
51325,Tottenham Hotspur,AFC Ajax,2019-04-30,0.0,1.0,F,UEFA CL,Tottenham Hotspur (England),AFC Ajax (Netherlands),england,netherlands,ENG,NL,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"7,418.22","7,440.66","7,451.32","7,394.07",774.32M,-0.3,2019-05-01
51326,FC Barcelona,Liverpool FC,2019-05-01,3.0,0.0,F,UEFA CL,FC Barcelona (Spain),Liverpool FC (England),spain,england,ES,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"7,385.26","7,418.22","7,446.46","7,379.65",347.13M,-0.44,2019-05-02
